Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,Lowest distortion
KCrO3,K,Cr,FALSE,1,5,1.64,1.38,0.49,0.82,1.66,3.025719299,1.960053288,-2.103071429,1.137356939,4.627681741,0.35,tetragonal
KCsO3,K,Cs,FALSE,-,-,1.64,1.38,1.67,0.82,0.79,3.025719299,3.009747218,-5.1665,0.700196943,-,1.192857143,cubic
KCuO3,K,Cu,FALSE,-,-,1.64,1.38,0.68,0.82,1.9,3.025719299,2.005573846,-2.373714286,1.033463757,-,0.485714286,cubic
KDyO3,K,Dy,FALSE,-,-,1.64,1.38,0.99,0.82,1.22,3.025719299,2.255580699,-3.442928571,0.899416157,-,0.707142857,cubic
KErO3,K,Er,FALSE,-,-,1.64,1.38,0.89,0.82,1.24,3.025719299,2.250676638,-3.214785714,0.938691972,-,0.635714286,cubic
KEuO3,K,Eu,FALSE,-,-,1.64,1.38,1.06,0.82,1.2,3.025719299,2.354367494,-3.606142857,0.873823014,-,0.757142857,cubic
KFeO3,K,Fe,FALSE,-,-,1.64,1.38,0.67,0.82,1.83,3.025719299,1.999521816,-2.393071429,1.038456336,-,0.478571429,tetragonal
KGaO3,K,Ga,FALSE,-,-,1.64,1.38,0.62,0.82,1.81,3.025719299,1.974643898,-2.296571429,1.0641607,-,0.442857143,cubic
KGdO3,K,Gd,FALSE,-,-,1.64,1.38,0.94,0.82,1.2,3.025719299,2.28415608,-3.346428571,0.918634451,-,0.671428571,cubic
KGeO3,K,Ge,FALSE,-,-,1.64,1.38,0.63,0.82,2.01,3.025719299,1.899964183,-2.201071429,1.058918529,-,0.45,rhombohedral
KHfO3,K,Hf,FALSE,-,-,1.64,1.38,0.71,0.82,1.3,3.025719299,2.027412322,-2.790071429,1.01876996,-,0.507142857,orthorhombic
KHgO3,K,Hg,FALSE,-,-,1.64,1.38,1.11,0.82,2,3.025719299,2.323654714,-3.245785714,0.856416181,-,0.792857143,cubic
KHoO3,K,Ho,FALSE,-,-,1.64,1.38,0.9,0.82,1.23,3.025719299,2.25865608,-3.242285714,0.934610702,-,0.642857143,orthorhombic
KInO3,K,In,FALSE,-,-,1.64,1.38,0.8,0.82,1.78,3.025719299,2.147680955,-2.703714286,0.977093007,-,0.571428571,cubic
KIrO3,K,Ir,FALSE,1,5,1.64,1.38,0.57,0.82,2.2,3.025719299,2.009082787,-1.959928571,1.091169855,4.178653323,0.407142857,orthorhombic
K2O3,K,K,FALSE,-,-,1.64,1.38,1.38,0.82,0.82,3.025719299,2.723507129,-4.521285714,0.77323907,-,0.985714286,orthorhombic
KLaO3,K,La,FALSE,-,-,1.64,1.38,1.03,0.82,1.1,3.025719299,2.376509378,-3.599785714,0.884610953,-,0.735714286,orthorhombic
KLiO3,K,Li,FALSE,-,-,1.64,1.38,0.76,0.82,0.98,3.025719299,2.095547886,-3.085714286,0.995187322,-,0.542857143,cubic
KLuO3,K,Lu,FALSE,-,-,1.64,1.38,0.86,0.82,1.27,3.025719299,2.209114963,-3.132285714,0.951152484,-,0.614285714,rhombohedral
KMgO3,K,Mg,FALSE,-,-,1.64,1.38,0.72,0.82,1.31,3.025719299,2.046489492,-2.805857143,1.013964441,-,0.514285714,cubic
KMnO3,K,Mn,FALSE,-,-,1.64,1.38,0.62,0.82,1.55,3.025719299,2.16999357,-2.448857143,1.0641607,-,0.442857143,tetragonal
KMoO3,K,Mo,FALSE,1,5,1.64,1.38,0.61,0.82,2.16,3.025719299,1.7893,-2.069928571,1.069455032,4.013529698,0.435714286,rhombohedral
KNaO3,K,Na,FALSE,-,-,1.64,1.38,1.02,0.82,0.93,3.025719299,2.425828064,-3.677714286,0.88826637,-,0.728571429,cubic
KNbO3,K,Nb,TRUE,1,5,1.64,1.38,0.64,0.82,1.6,3.025719299,1.955055241,-2.462857143,1.053727752,3.910715044,0.457142857,tetragonal
KNdO3,K,Nd,FALSE,-,-,1.64,1.38,0.98,0.82,1.14,3.025719299,2.320966993,-3.468142857,0.903195216,-,0.7,orthorhombic
KNiO3,K,Ni,FALSE,-,-,1.64,1.38,0.59,0.82,1.91,3.025719299,2.103725488,-2.173071429,1.080203324,-,0.421428571,cubic
KNpO3,K,Np,FALSE,0,0,1.64,1.38,0.86,0.82,1.36,3.025719299,0,-3.079571429,0.951152484,-,0.614285714,orthorhombic
KOsO3,K,Os,FALSE,0,0,1.64,1.38,0.57,0.82,2.2,3.025719299,1.954921624,-1.959928571,1.091169855,-,0.407142857,cubic
KPaO3,K,Pa,TRUE,0,0,1.64,1.38,0.91,0.82,1.5,3.025719299,0,-3.105785714,0.930564768,-,0.65,cubic
KPbO3,K,Pb,FALSE,-,-,1.64,1.38,0.99,0.82,2.33,3.025719299,2.362863567,-2.792785714,0.899416157,-,0.707142857,orthorhombic
KPdO3,K,Pd,FALSE,-,-,1.64,1.38,0.75,0.82,2.2,3.025719299,2.04250519,-2.3495,0.9998161,-,0.535714286,tetragonal
KPmO3,K,Pm,FALSE,0,0,1.64,1.38,0.97,0.82,1.13,3.025719299,0,-3.452357143,0.907006167,-,0.692857143,rhombohedral
KPrO3,K,Pr,FALSE,-,-,1.64,1.38,0.92,0.82,1.13,3.025719299,2.340791612,-3.344142857,0.926553713,-,0.657142857,orthorhombic
KPtO3,K,Pt,FALSE,0,0,1.64,1.38,0.67,0.82,2.28,3.025719299,2.64390067,-2.1295,1.038456336,-,0.478571429,orthorhombic
KPuO3,K,Pu,FALSE,0,0,1.64,1.38,0.83,0.82,1.28,3.025719299,2.226583834,-3.0615,0.963948258,-,0.592857143,orthorhombic
KRbO3,K,Rb,FALSE,-,-,1.64,1.38,1.52,0.82,0.82,3.025719299,2.825996661,-4.824285714,0.736165964,-,1.085714286,orthorhombic
KReO3,K,Re,FALSE,1,5,1.64,1.38,0.58,0.82,1.9,3.025719299,1.98797081,-2.157285714,1.085658896,4.134134169,0.414285714,cubic
KRhO3,K,Rh,FALSE,-,-,1.64,1.38,0.61,0.82,2.28,3.025719299,2.001424352,-1.999642857,1.069455032,-,0.435714286,tetragonal
KRuO3,K,Ru,FALSE,1,5,1.64,1.38,0.57,0.82,2.2,3.025719299,2.018753288,-1.959928571,1.091169855,4.178653323,0.407142857,orthorhombic
KSbO3,K,Sb,FALSE,1,5,1.64,1.38,0.6,0.82,2.05,3.025719299,2.075848892,-2.112714286,1.074802307,4.051656452,0.428571429,orthorhombic
KScO3,K,Sc,FALSE,-,-,1.64,1.38,0.75,0.82,1.36,3.025719299,2.074614707,-2.8415,0.9998161,-,0.535714286,cubic
KSiO3,K,Si,FALSE,-,-,1.64,1.38,0.4,0.82,1.9,3.025719299,1.783360927,-1.767714286,1.194224786,-,0.285714286,tetragonal
KSmO3,K,Sm,FALSE,-,-,1.64,1.38,0.96,0.82,1.17,3.025719299,2.311832729,-3.407285714,0.910849413,-,0.685714286,orthorhombic
KSnO3,K,Sn,FALSE,-,-,1.64,1.38,0.69,0.82,1.96,3.025719299,2.052287148,-2.360214286,1.028518954,-,0.492857143,rhombohedral
KSrO3,K,Sr,FALSE,-,-,1.64,1.38,1.18,0.82,0.95,3.025719299,2.452968591,-4.012285714,0.833180083,-,0.842857143,cubic
KTaO3,K,Ta,TRUE,1,5,1.64,1.38,0.64,0.82,1.5,3.025719299,1.956808277,-2.521428571,1.053727752,3.910715044,0.457142857,rhombohedral
KTbO3,K,Tb,FALSE,-,-,1.64,1.38,0.84,0.82,1.2,3.025719299,2.256932729,-3.13,0.959644917,-,0.6,cubic
KTcO3,K,Tc,FALSE,0,0,1.64,1.38,0.6,0.82,1.9,3.025719299,0,-2.200571429,1.074802307,-,0.428571429,cubic
KTeO3,K,Te,FALSE,-,-,1.64,1.38,0.77,0.82,2.1,3.025719299,2.115491508,-2.451357143,0.990601205,-,0.55,orthorhombic
KThO3,K,Th,FALSE,-,-,1.64,1.38,0.94,0.82,1.3,3.025719299,2.246056043,-3.287857143,0.918634451,-,0.671428571,orthorhombic
KTiO3,K,Ti,FALSE,-,-,1.64,1.38,0.71,0.82,1.54,3.025719299,1.927848949,-2.6495,1.01876996,-,0.507142857,tetragonal
KTlO3,K,Tl,FALSE,-,-,1.64,1.38,1.2,0.82,1.62,3.025719299,2.297683747,-3.663142857,0.826771006,-,0.857142857,orthorhombic
KTmO3,K,Tm,FALSE,-,-,1.64,1.38,0.96,0.82,1.25,3.025719299,2.119700811,-3.360428571,0.910849413,-,0.685714286,cubic
KUO3,K,U,TRUE,-,-,1.64,1.38,0.85,0.82,1.38,3.025719299,2.0478,-3.046214286,0.955379829,-,0.607142857,orthorhombic
KVO3,K,V,FALSE,1,5,1.64,1.38,0.54,0.82,1.63,3.025719299,1.758039163,-2.228857143,1.108043616,4.326488717,0.385714286,tetragonal
KWO3,K,W,FALSE,1,5,1.64,1.38,0.62,0.82,2.36,3.025719299,1.7456,-1.974428571,1.0641607,3.977375872,0.442857143,orthorhombic
KYO3,K,Y,FALSE,-,-,1.64,1.38,0.9,0.82,1.22,3.025719299,2.235124352,-3.248142857,0.934610702,-,0.642857143,orthorhombic
KYbO3,K,Yb,FALSE,-,-,1.64,1.38,0.95,0.82,1.1,3.025719299,2.223980699,-3.426642857,0.914725368,-,0.678571429,cubic
KZnO3,K,Zn,FALSE,-,-,1.64,1.38,0.74,0.82,1.65,3.025719299,2.096140752,-2.65,1.004488138,-,0.528571429,cubic
KZrO3,K,Zr,FALSE,-,-,1.64,1.38,0.72,0.82,1.33,3.025719299,2.043777903,-2.794142857,1.013964441,-,0.514285714,orthorhombic
LaAcO3,La,Ac,FALSE,0,0,1.36,1.03,1.12,1.1,1.1,2.689118757,0,-3.448571429,0.774450284,-,0.8,cubic
LaAgO3,La,Ag,FALSE,3,3,1.36,1.03,0.75,1.1,1.93,2.689118757,2.488353231,-2.281642857,0.907727775,2.006961882,0.535714286,orthorhombic
LaAlO3,La,Al,TRUE,3,3,1.36,1.032,0.535,1.1,1.61,2.689118757,1.892894405,-2.003571429,1.005986967,1.772514741,0.385714286,rhombohedral
LaAsO3,La,As,FALSE,3,3,1.36,1.03,0.58,1.1,2.18,2.689118757,1.932227032,-1.809285714,0.985663998,1.668175568,0.414285714,orthorhombic
LaAuO3,La,Au,FALSE,0,0,1.36,1.03,0.93,1.1,2.54,2.689118757,2.31369847,-2.356928571,0.837602882,-,0.664285714,cubic
LaBO3,La,B,FALSE,-,-,1.36,1.03,0.27,1.1,2.04,2.689118757,1.624661665,-1.237357143,1.168631567,-,0.192857143,cubic
LaBaO3,La,Ba,FALSE,-,-,1.36,1.03,1.35,1.1,0.89,2.689118757,2.64009357,-4.025357143,0.709678079,-,0.964285714,orthorhombic
LaBeO3,La,Be,FALSE,-,-,1.36,1.03,0.45,1.1,1.57,2.689118757,1.803349248,-1.837214286,1.054926874,-,0.321428571,tetragonal
LaBiO3,La,Bi,FALSE,3,3,1.36,1.03,1.03,1.1,2.02,2.689118757,2.215655462,-2.815928571,0.803133628,6.61181755,0.735714286,cubic
LaCaO3,La,Ca,FALSE,-,-,1.36,1.03,1,1.1,1,2.689118757,2.318139449,-3.249428571,0.813172798,-,0.714285714,cubic
LaCdO3,La,Cd,FALSE,-,-,1.36,1.03,0.95,1.1,1.69,2.689118757,2.286435201,-2.811071429,0.830474347,-,0.678571429,orthorhombic
LaCeO3,La,Ce,FALSE,3,3,1.36,1.03,1.01,1.1,1.12,2.689118757,2.268642439,-3.211785714,0.809798637,5.963070837,0.721428571,cubic
LaCoO3,La,Co,TRUE,3,3,1.36,1.03,0.61,1.1,1.88,2.689118757,1.930310969,-2.016928571,0.970952595,1.637165916,0.435714286,orthorhombic
LaCrO3,La,Cr,TRUE,3,3,1.36,1.03,0.62,1.1,1.66,2.689118757,1.960053288,-2.144428571,0.966145899,1.635497257,0.442857143,orthorhombic
LaCsO3,La,Cs,FALSE,-,-,1.36,1.03,1.67,1.1,0.79,2.689118757,3.009747218,-4.7345,0.635705119,-,1.192857143,tetragonal
LaCuO3,La,Cu,TRUE,3,3,1.36,1.03,0.54,1.1,1.9,2.689118757,2.005573846,-1.862714286,1.005986967,1.772514741,0.385714286,orthorhombic
LaDyO3,La,Dy,FALSE,3,3,1.36,1.03,0.91,1.1,1.22,2.689118757,2.255580699,-2.956785714,0.844854855,3.697167475,0.65,cubic
LaErO3,La,Er,TRUE,3,3,1.36,1.03,0.89,1.1,1.24,2.689118757,2.250676638,-2.905785714,0.8522335,3.384518324,0.635714286,orthorhombic
LaEuO3,La,Eu,FALSE,3,3,1.36,1.03,0.95,1.1,1.2,2.689118757,2.354367494,-3.049071429,0.830474347,4.444142021,0.678571429,cubic
LaFeO3,La,Fe,TRUE,3,3,1.36,1.03,0.65,1.1,1.83,2.689118757,1.999521816,-2.123785714,0.952007179,1.65607887,0.464285714,orthorhombic
LaGaO3,La,Ga,TRUE,3,3,1.36,1.03,0.62,1.1,1.81,2.689118757,1.974643898,-2.071571429,0.966145899,1.635497257,0.442857143,orthorhombic
LaGdO3,La,Gd,FALSE,3,3,1.36,1.03,0.94,1.1,1.2,2.689118757,2.28415608,-3.028428571,0.834023383,4.240564637,0.671428571,cubic
LaGeO3,La,Ge,FALSE,3,3,1.36,1.03,0.63,1.1,2.01,2.689118757,1.899964183,-1.995071429,0.96138656,1.638103726,0.45,rhombohedral
LaHfO3,La,Hf,FALSE,2,4,1.36,1.03,0.71,1.1,1.3,2.689118757,2.027412322,-2.505071429,0.924935884,3.865882087,0.507142857,orthorhombic
LaHgO3,La,Hg,FALSE,-,-,1.36,1.03,1.11,1.1,2,2.689118757,2.323654714,-2.990785714,0.777535743,-,0.792857143,orthorhombic
LaHoO3,La,Ho,TRUE,3,3,1.36,1.03,0.9,1.1,1.23,2.689118757,2.25865608,-2.931285714,0.848528137,3.536264945,0.642857143,orthorhombic
LaInO3,La,In,TRUE,3,3,1.36,1.03,0.8,1.1,1.78,2.689118757,2.147680955,-2.457714286,0.887097598,2.361248534,0.571428571,orthorhombic
LaIrO3,La,Ir,FALSE,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.009082787,-2.006,0.938276306,1.714993775,0.485714286,orthorhombic
LaKO3,La,K,FALSE,-,-,1.36,1.03,1.38,1.1,0.82,2.689118757,2.723507129,-4.121285714,0.702019682,-,0.985714286,orthorhombic
La2O3,La,La,FALSE,3,3,1.36,1.03,1.03,1.1,1.1,2.689118757,2.376509378,-3.262785714,0.803133628,6.61181755,0.735714286,cubic
LaLiO3,La,Li,FALSE,-,-,1.36,1.03,0.76,1.1,0.98,2.689118757,2.095547886,-2.763714286,0.903525332,-,0.542857143,orthorhombic
LaLuO3,La,Lu,TRUE,3,3,1.36,1.03,0.86,1.1,1.27,2.689118757,2.209114963,-2.829285714,0.863546335,2.97943978,0.614285714,rhombohedral
LaMgO3,La,Mg,FALSE,-,-,1.36,1.03,0.72,1.1,1.31,2.689118757,2.046489492,-2.520857143,0.920572979,-,0.514285714,orthorhombic
LaMnO3,La,Mn,TRUE,3,3,1.36,1.03,0.65,1.1,1.55,2.689118757,2.16999357,-2.259785714,0.952007179,1.65607887,0.464285714,orthorhombic
LaMoO3,La,Mo,FALSE,3,3,1.36,1.03,0.69,1.1,2.16,2.689118757,1.7893,-2.046071429,0.933786945,1.743240294,0.492857143,orthorhombic
LaNaO3,La,Na,FALSE,-,-,1.36,1.03,1.02,1.1,0.93,2.689118757,2.425828064,-3.324714286,0.806452362,-,0.728571429,cubic
LaNbO3,La,Nb,FALSE,1,5,1.36,1.03,0.64,1.1,1.6,2.689118757,1.955055241,-2.214857143,0.95667388,4.006655603,0.457142857,orthorhombic
LaNdO3,La,Nd,FALSE,3,3,1.36,1.03,0.98,1.1,1.14,2.689118757,2.320966993,-3.140142857,0.820006183,5.133561661,0.7,cubic
LaNiO3,La,Ni,TRUE,3,3,1.36,1.03,0.6,1.1,1.91,2.689118757,2.103725488,-1.981714286,0.975807358,1.643139289,0.428571429,orthorhombic
LaNpO3,La,Np,FALSE,0,0,1.36,1.03,0.86,1.1,1.36,2.689118757,0,-2.785571429,0.863546335,-,0.614285714,-
LaOsO3,La,Os,FALSE,0,0,1.36,1.03,0.57,1.1,2.2,2.689118757,1.954921624,-1.778928571,0.990667369,-,0.407142857,orthorhombic
LaPaO3,La,Pa,FALSE,0,0,1.36,1.03,0.91,1.1,1.5,2.689118757,0,-2.820785714,0.844854855,-,0.65,cubic
LaPbO3,La,Pb,FALSE,2,4,1.36,1.03,0.78,1.1,2.33,2.689118757,2.362863567,-2.149285714,0.895236108,4.067385882,0.557142857,cubic
LaPdO3,La,Pd,FALSE,2,4,1.36,1.03,0.62,1.1,2.2,2.689118757,2.04250519,-1.882142857,0.966145899,3.843019677,0.442857143,orthorhombic
LaPmO3,La,Pm,FALSE,0,0,1.36,1.03,0.97,1.1,1.13,2.689118757,0,-3.124357143,0.823466125,-,0.692857143,cubic
LaPrO3,La,Pr,FALSE,3,3,1.36,1.03,0.99,1.1,1.13,2.689118757,2.340791612,-3.165642857,0.816575195,5.392904886,0.707142857,cubic
LaPtO3,La,Pt,FALSE,0,0,1.36,1.03,0.67,1.1,2.28,2.689118757,2.64390067,-1.9465,0.942809042,-,0.478571429,orthorhombic
LaPuO3,La,Pu,FALSE,0,0,1.36,1.03,0.83,1.1,1.28,2.689118757,2.226583834,-2.7625,0.87516355,-,0.592857143,cubic
LaRbO3,La,Rb,FALSE,-,-,1.36,1.03,1.52,1.1,0.82,2.689118757,2.825996661,-4.410285714,0.668361204,-,1.085714286,orthorhombic
LaReO3,La,Re,FALSE,3,3,1.36,1.03,0.63,1.1,1.9,2.689118757,1.98797081,-2.0485,0.96138656,1.638103726,0.45,cubic
LaRhO3,La,Rh,TRUE,3,3,1.36,1.03,0.67,1.1,2.28,2.689118757,2.001424352,-1.9465,0.942809042,1.691073151,0.478571429,orthorhombic
LaRuO3,La,Ru,TRUE,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.018753288,-2.006,0.938276306,1.714993775,0.485714286,orthorhombic
LaSbO3,La,Sb,FALSE,3,3,1.36,1.03,0.76,1.1,2.05,2.689118757,2.075848892,-2.244,0.903525332,2.067440009,0.542857143,cubic
LaScO3,La,Sc,TRUE,3,3,1.36,1.03,0.75,1.1,1.36,2.689118757,2.074614707,-2.5585,0.907727775,2.006961882,0.535714286,orthorhombic
LaSiO3,La,Si,FALSE,3,3,1.36,1.03,0.4,1.1,1.9,2.689118757,1.783360927,-1.573714286,1.084230398,2.834862538,0.285714286,cubic
LaSmO3,La,Sm,FALSE,3,3,1.36,1.03,0.96,1.1,1.17,2.689118757,2.311832729,-3.084285714,0.826955388,4.66022342,0.685714286,cubic
LaSnO3,La,Sn,FALSE,2,4,1.36,1.03,0.69,1.1,1.96,2.689118757,2.052287148,-2.143214286,0.933786945,3.838488698,0.492857143,cubic
LaSrO3,La,Sr,FALSE,-,-,1.36,1.03,1.18,1.1,0.95,2.689118757,2.452968591,-3.645285714,0.756439812,-,0.842857143,cubic
LaTaO3,La,Ta,FALSE,1,5,1.36,1.03,0.64,1.1,1.5,2.689118757,1.956808277,-2.263428571,0.95667388,4.006655603,0.457142857,orthorhombic
LaTbO3,La,Tb,FALSE,3,3,1.36,1.03,0.92,1.1,1.2,2.689118757,2.256932729,-2.987142857,0.84121324,3.867773593,0.657142857,cubic
LaTcO3,La,Tc,FALSE,0,0,1.36,1.03,0.6,1.1,1.9,2.689118757,0,-1.986571429,0.975807358,-,0.428571429,orthorhombic
LaTeO3,La,Te,FALSE,2,4,1.36,1.03,0.97,1.1,2.1,2.689118757,2.115491508,-2.653214286,0.823466125,5.740899995,0.692857143,cubic
LaThO3,La,Th,FALSE,2,4,1.36,1.03,0.94,1.1,1.3,2.689118757,2.246056043,-2.979857143,0.834023383,5.323496992,0.671428571,cubic
LaTiO3,La,Ti,TRUE,3,3,1.36,1.03,0.67,1.1,1.54,2.689118757,1.927848949,-2.305928571,0.942809042,1.691073151,0.478571429,orthorhombic
LaTlO3,La,Tl,FALSE,3,3,1.36,1.03,0.89,1.1,1.62,2.689118757,2.297683747,-2.721214286,0.8522335,3.384518324,0.635714286,orthorhombic
LaTmO3,La,Tm,TRUE,3,3,1.36,1.03,0.88,1.1,1.25,2.689118757,2.119700811,-2.880285714,0.855971367,3.241428659,0.628571429,orthorhombic
LaUO3,La,U,FALSE,1,5,1.36,1.03,0.76,1.1,1.38,2.689118757,2.0478,-2.569428571,0.903525332,3.917216845,0.542857143,cubic
LaVO3,La,V,TRUE,3,3,1.36,1.03,0.64,1.1,1.63,2.689118757,1.758039163,-2.200285714,0.95667388,1.644966809,0.457142857,orthorhombic
LaWO3,La,W,FALSE,3,3,1.36,1.03,0.66,1.1,2.36,2.689118757,1.7456,-1.887,0.947385785,1.671443038,0.471428571,orthorhombic
LaYO3,La,Y,FALSE,3,3,1.36,1.03,0.9,1.1,1.22,2.689118757,2.235124352,-2.936142857,0.848528137,3.536264945,0.642857143,cubic
LaYbO3,La,Yb,TRUE,3,3,1.36,1.03,0.87,1.1,1.1,2.689118757,2.223980699,-2.9325,0.859742166,3.106540919,0.621428571,cubic
LaZnO3,La,Zn,FALSE,-,-,1.36,1.03,0.74,1.1,1.65,2.689118757,2.096140752,-2.397,0.911969493,-,0.528571429,orthorhombic
LaZrO3,La,Zr,FALSE,3,3,1.36,1.03,0.72,1.1,1.33,2.689118757,2.043777903,-2.511142857,0.920572979,1.854455066,0.514285714,orthorhombic
LiAcO3,Li,Ac,FALSE,0,0,0.92,0.76,1.12,0.98,1.1,2.453211831,0,-3.128857143,0.650987195,-,0.8,orthorhombic
LiAgO3,Li,Ag,FALSE,-,-,0.92,0.76,0.95,0.98,1.93,2.453211831,2.488353231,-2.497928571,0.698079886,-,0.678571429,cubic
LiAlO3,Li,Al,FALSE,-,-,0.92,0.76,0.54,0.98,1.61,2.453211831,1.892894405,-1.739142857,0.845612233,-,0.385714286,orthorhombic
LiAsO3,Li,As,FALSE,1,5,0.92,0.76,0.46,0.98,2.18,2.453211831,1.932227032,-1.383285714,0.881982652,4.928868343,0.328571429,orthorhombic
LiAuO3,Li,Au,FALSE,0,0,0.92,0.76,0.93,0.98,2.54,2.453211831,2.31369847,-2.255357143,0.704071988,-,0.664285714,cubic
LiBO3,Li,B,FALSE,-,-,0.92,0.76,0.27,0.98,2.04,2.453211831,1.624661665,-1.028928571,0.982327983,-,0.192857143,cubic
LiBaO3,Li,Ba,FALSE,-,-,0.92,0.76,1.35,0.98,0.89,2.453211831,2.64009357,-3.6825,0.596540994,-,0.964285714,cubic
LiBeO3,Li,Be,FALSE,-,-,0.92,0.76,0.45,0.98,1.57,2.453211831,1.803349248,-1.562642857,0.886750126,-,0.321428571,cubic
LiBiO3,Li,Bi,FALSE,1,5,0.92,0.76,0.76,0.98,2.02,2.453211831,2.215655462,-2.068,0.759485061,7.17810702,0.542857143,orthorhombic
LiCaO3,Li,Ca,FALSE,-,-,0.92,0.76,1,0.98,1,2.453211831,2.318139449,-2.908857143,0.683536555,-,0.714285714,cubic
LiCdO3,Li,Cd,FALSE,-,-,0.92,0.76,0.95,0.98,1.69,2.453211831,2.286435201,-2.576785714,0.698079886,-,0.678571429,cubic
LiCeO3,Li,Ce,FALSE,-,-,0.92,0.76,0.94,0.98,1.12,2.453211831,2.268642439,-2.743,0.701063133,-,0.671428571,orthorhombic
LiCoO3,Li,Co,FALSE,-,-,0.92,0.76,0.63,0.98,1.88,2.453211831,1.930310969,-1.840071429,0.808122036,-,0.45,orthorhombic
LiCrO3,Li,Cr,FALSE,1,5,0.92,0.76,0.49,0.98,1.66,2.453211831,1.960053288,-1.617357143,0.867982927,4.837532637,0.35,orthorhombic
LiCsO3,Li,Cs,FALSE,-,-,0.92,0.76,1.67,0.98,0.79,2.453211831,3.009747218,-4.389642857,0.534360825,-,1.192857143,cubic
LiCuO3,Li,Cu,FALSE,-,-,0.92,0.76,0.68,0.98,1.9,2.453211831,2.005573846,-1.938857143,0.788696025,-,0.485714286,cubic
LiDyO3,Li,Dy,FALSE,-,-,0.92,0.76,0.99,0.98,1.22,2.453211831,2.255580699,-2.8155,0.686396541,-,0.707142857,cubic
LiErO3,Li,Er,FALSE,-,-,0.92,0.76,0.89,0.98,1.24,2.453211831,2.250676638,-2.598214286,0.716370189,-,0.635714286,cubic
LiEuO3,Li,Eu,FALSE,-,-,0.92,0.76,1.06,0.98,1.2,2.453211831,2.354367494,-2.969571429,0.666864932,-,0.757142857,orthorhombic
LiFeO3,Li,Fe,FALSE,1,5,0.92,0.76,0.59,0.98,1.83,2.453211831,1.999521816,-1.772214286,0.824365695,4.882882609,0.421428571,orthorhombic
LiGaO3,Li,Ga,FALSE,-,-,0.92,0.76,0.62,0.98,1.81,2.453211831,1.974643898,-1.842,0.81212264,-,0.442857143,cubic
LiGdO3,Li,Gd,FALSE,-,-,0.92,0.76,0.94,0.98,1.2,2.453211831,2.28415608,-2.716714286,0.701063133,-,0.671428571,cubic
LiGeO3,Li,Ge,FALSE,-,-,0.92,0.76,0.63,0.98,2.01,2.453211831,1.899964183,-1.797357143,0.808122036,-,0.45,orthorhombic
LiHfO3,Li,Hf,FALSE,-,-,0.92,0.76,0.71,0.98,1.3,2.453211831,2.027412322,-2.199214286,0.777482338,-,0.507142857,rhombohedral
LiHgO3,Li,Hg,FALSE,-,-,0.92,0.76,1.11,0.98,2,2.453211831,2.323654714,-2.812071429,0.65358077,-,0.792857143,cubic
LiHoO3,Li,Ho,FALSE,-,-,0.92,0.76,0.9,0.98,1.23,2.453211831,2.25865608,-2.622571429,0.713255536,-,0.642857143,cubic
LiInO3,Li,In,FALSE,-,-,0.92,0.76,0.8,0.98,1.78,2.453211831,2.147680955,-2.231142857,0.745676242,-,0.571428571,cubic
LiIrO3,Li,Ir,FALSE,1,5,0.92,0.76,0.57,0.98,2.2,2.453211831,2.009082787,-1.6085,0.83273489,4.827582385,0.407142857,rhombohedral
LiKO3,Li,K,FALSE,-,-,0.92,0.76,1.38,0.98,0.82,2.453211831,2.723507129,-3.768714286,0.590103501,-,0.985714286,cubic
LiLaO3,Li,La,FALSE,-,-,0.92,0.76,1.03,0.98,1.1,2.453211831,2.376509378,-2.939214286,0.675097832,-,0.735714286,orthorhombic
Li2O3,Li,Li,FALSE,-,-,0.92,0.76,0.76,0.98,0.98,2.453211831,2.095547886,-2.409714286,0.759485061,-,0.542857143,cubic
LiLuO3,Li,Lu,FALSE,-,-,0.92,0.76,0.86,0.98,1.27,2.453211831,2.209114963,-2.525142857,0.725879528,-,0.614285714,cubic
LiMgO3,Li,Mg,FALSE,-,-,0.92,0.76,0.72,0.98,1.31,2.453211831,2.046489492,-2.217,0.773814968,-,0.514285714,cubic
LiMnO3,Li,Mn,FALSE,1,5,0.92,0.76,0.33,0.98,1.55,2.453211831,2.16999357,-1.316357143,0.948258805,5.961560504,0.235714286,orthorhombic
LiMoO3,Li,Mo,FALSE,1,5,0.92,0.76,0.61,0.98,2.16,2.453211831,1.7893,-1.705928571,0.816163051,4.965422001,0.435714286,rhombohedral
LiNaO3,Li,Na,FALSE,-,-,0.92,0.76,1.02,0.98,0.93,2.453211831,2.425828064,-2.974,0.677887493,-,0.728571429,orthorhombic
LiNbO3,Li,Nb,TRUE,1,5,0.92,0.76,0.64,0.98,1.6,2.453211831,1.955055241,-1.953142857,0.804160653,5.148586357,0.457142857,rhombohedral
LiNdO3,Li,Nd,FALSE,-,-,0.92,0.76,0.98,0.98,1.14,2.453211831,2.320966993,-2.820714286,0.68928056,-,0.7,orthorhombic
LiNiO3,Li,Ni,FALSE,-,-,0.92,0.76,0.59,0.98,1.91,2.453211831,2.103725488,-1.745928571,0.824365695,-,0.421428571,cubic
